,Name,Classification,Taxon ID,Assembly,Accession,Species_str,assembly,Core_db
0,Ashbya gossypii,Saccharomycetales,284811,ASM9102v1,GCA_000091025.3,ashbya_gossypii,ASM9102v1,ashbya_gossypii_core_59_112_1
1,Candida albicans,Saccharomycetales,237561,GCA000182965v3,GCA_000182965.3,candida_albicans,GCA000182965v3,candida_albicans_core_59_112_3
2,Candida auris,Saccharomycetales,498019,GCA002759435v2,GCA_002759435.2,candida_auris,GCA002759435v2,candida_auris_core_59_112_2
3,Candida glabrata,Saccharomycetales,284593,GCA000002545v2,GCA_000002545.2,candida_glabrata,GCA000002545v2,candida_glabrata_core_59_112_2
4,Saccharomyces cerevisiae,Saccharomycetales,559292,R64-1-1,GCA_000146045.2,saccharomyces_cerevisiae,R64-1-1,saccharomyces_cerevisiae_core_59_112_4
5,Schizosaccharomyces cryophilus,Schizosaccharomycetales,653667,GCA_000004155.2,GCA_000004155.2,schizosaccharomyces_cryophilus,SCY4,schizosaccharomyces_cryophilus_core_59_112_2
6,Schizosaccharomyces pombe,Schizosaccharomycetales,284812,ASM294v2,GCA_000002945.2,schizosaccharomyces_pombe,ASM294v2,schizosaccharomyces_pombe_core_59_112_2
7,Yarrowia lipolytica,Saccharomycetales,284591,GCA_000002525.1,GCA_000002525.1,yarrowia_lipolytica,ASM252v1,yarrowia_lipolytica_core_59_112_1
