index	identifier	file	sum_stat	clip_soft	description	group
59	CFT1_S1	CFT1_S1_coverage.bw	sum	100000	CFT1_S1 Chip-exo, coverage	Other
60	CHA4_S1	CHA4_S1_coverage.bw	sum	100000	CHA4_S1 Chip-exo, coverage	Other
61	CHD1_S0	CHD1_S0_coverage.bw	sum	100000	CHD1_S0 Chip-exo, coverage	Other
62	CHD1_S1	CHD1_S1_coverage.bw	sum	100000	CHD1_S1 Chip-exo, coverage	Other
63	CHZ1_S0	CHZ1_S0_coverage.bw	sum	100000	CHZ1_S0 Chip-exo, coverage	Other
64	CIN5_S1	CIN5_S1_coverage.bw	sum	100000	CIN5_S1 Chip-exo, coverage	Other
65	CKA1_S0	CKA1_S0_coverage.bw	sum	100000	CKA1_S0 Chip-exo, coverage	Other
66	CKA1_S1	CKA1_S1_coverage.bw	sum	100000	CKA1_S1 Chip-exo, coverage	Other
67	CKA2_S0	CKA2_S0_coverage.bw	sum	100000	CKA2_S0 Chip-exo, coverage	Other
68	CKA2_S1	CKA2_S1_coverage.bw	sum	100000	CKA2_S1 Chip-exo, coverage	Other
69	CKB1_S0	CKB1_S0_coverage.bw	sum	100000	CKB1_S0 Chip-exo, coverage	Other
70	CKB2_S0	CKB2_S0_coverage.bw	sum	100000	CKB2_S0 Chip-exo, coverage	Other
71	CKB2_S1	CKB2_S1_coverage.bw	sum	100000	CKB2_S1 Chip-exo, coverage	Other
72	CKS1_S0	CKS1_S0_coverage.bw	sum	100000	CKS1_S0 Chip-exo, coverage	Other
73	CLN1_S0	CLN1_S0_coverage.bw	sum	100000	CLN1_S0 Chip-exo, coverage	Other
74	CLN1_S1	CLN1_S1_coverage.bw	sum	100000	CLN1_S1 Chip-exo, coverage	Other
75	CMR3_S0	CMR3_S0_coverage.bw	sum	100000	CMR3_S0 Chip-exo, coverage	Other
76	CPR1_S0	CPR1_S0_coverage.bw	sum	100000	CPR1_S0 Chip-exo, coverage	Other
77	CRM1_S0	CRM1_S0_coverage.bw	sum	100000	CRM1_S0 Chip-exo, coverage	Other
78	CRZ1_S0	CRZ1_S0_coverage.bw	sum	100000	CRZ1_S0 Chip-exo, coverage	Other
79	CRZ1_S1	CRZ1_S1_coverage.bw	sum	100000	CRZ1_S1 Chip-exo, coverage	Other
80	CSE2_S0	CSE2_S0_coverage.bw	sum	100000	CSE2_S0 Chip-exo, coverage	Other
81	CSE2_S1	CSE2_S1_coverage.bw	sum	100000	CSE2_S1 Chip-exo, coverage	Other
82	CSE4_S0	CSE4_S0_coverage.bw	sum	100000	CSE4_S0 Chip-exo, coverage	Other
83	CSL4_S0	CSL4_S0_coverage.bw	sum	100000	CSL4_S0 Chip-exo, coverage	Other
84	CSN12_S0	CSN12_S0_coverage.bw	sum	100000	CSN12_S0 Chip-exo, coverage	Other
85	CSN12_S1	CSN12_S1_coverage.bw	sum	100000	CSN12_S1 Chip-exo, coverage	Other
86	CSR2_S0	CSR2_S0_coverage.bw	sum	100000	CSR2_S0 Chip-exo, coverage	Other
87	CTDSER2_S0	CTDSER2_S0_coverage.bw	sum	100000	CTDSER2_S0 Chip-exo, coverage	Other
88	CTDSER2_S1	CTDSER2_S1_coverage.bw	sum	100000	CTDSER2_S1 Chip-exo, coverage	Other
89	CTDSER5_S0	CTDSER5_S0_coverage.bw	sum	100000	CTDSER5_S0 Chip-exo, coverage	Other
90	CTDSER5_S1	CTDSER5_S1_coverage.bw	sum	100000	CTDSER5_S1 Chip-exo, coverage	Other
91	CTDSER7_S0	CTDSER7_S0_coverage.bw	sum	100000	CTDSER7_S0 Chip-exo, coverage	Other
92	CTDSER7_S1	CTDSER7_S1_coverage.bw	sum	100000	CTDSER7_S1 Chip-exo, coverage	Other
93	CTK1_S0	CTK1_S0_coverage.bw	sum	100000	CTK1_S0 Chip-exo, coverage	Other
94	CTK1_S1	CTK1_S1_coverage.bw	sum	100000	CTK1_S1 Chip-exo, coverage	Other
95	CTK2_S0	CTK2_S0_coverage.bw	sum	100000	CTK2_S0 Chip-exo, coverage	Other
96	CTK2_S1	CTK2_S1_coverage.bw	sum	100000	CTK2_S1 Chip-exo, coverage	Other
97	CTK3_S0	CTK3_S0_coverage.bw	sum	100000	CTK3_S0 Chip-exo, coverage	Other
98	CTR9_S0	CTR9_S0_coverage.bw	sum	100000	CTR9_S0 Chip-exo, coverage	Other
99	CTR9_S1	CTR9_S1_coverage.bw	sum	100000	CTR9_S1 Chip-exo, coverage	Other
100	CTS1_S0	CTS1_S0_coverage.bw	sum	100000	CTS1_S0 Chip-exo, coverage	Other
101	CUP2_S0	CUP2_S0_coverage.bw	sum	100000	CUP2_S0 Chip-exo, coverage	Other
102	CUP9_S0	CUP9_S0_coverage.bw	sum	100000	CUP9_S0 Chip-exo, coverage	Other
103	CUP9_S1	CUP9_S1_coverage.bw	sum	100000	CUP9_S1 Chip-exo, coverage	Other
104	CYC8_S0	CYC8_S0_coverage.bw	sum	100000	CYC8_S0 Chip-exo, coverage	Other
105	DAT1_S0	DAT1_S0_coverage.bw	sum	100000	DAT1_S0 Chip-exo, coverage	Other
106	RET1_S0	RET1_S0_coverage.bw	sum	100000	RET1_S0 Chip-exo, coverage	Other
107	RFA1_S0	RFA1_S0_coverage.bw	sum	100000	RFA1_S0 Chip-exo, coverage	Other
108	RFC1_S0	RFC1_S0_coverage.bw	sum	100000	RFC1_S0 Chip-exo, coverage	Other
109	RFC5_S0	RFC5_S0_coverage.bw	sum	100000	RFC5_S0 Chip-exo, coverage	Other
110	RFM1_S0	RFM1_S0_coverage.bw	sum	100000	RFM1_S0 Chip-exo, coverage	Other
111	RFX1_S0	RFX1_S0_coverage.bw	sum	100000	RFX1_S0 Chip-exo, coverage	Other
112	RGM1_S0	RGM1_S0_coverage.bw	sum	100000	RGM1_S0 Chip-exo, coverage	Other
113	RGM1_S1	RGM1_S1_coverage.bw	sum	100000	RGM1_S1 Chip-exo, coverage	Other
114	RGR1_S0	RGR1_S0_coverage.bw	sum	100000	RGR1_S0 Chip-exo, coverage	Other
115	RGR1_S1	RGR1_S1_coverage.bw	sum	100000	RGR1_S1 Chip-exo, coverage	Other
116	RGT1_S0	RGT1_S0_coverage.bw	sum	100000	RGT1_S0 Chip-exo, coverage	Other
117	RGT1_S1	RGT1_S1_coverage.bw	sum	100000	RGT1_S1 Chip-exo, coverage	Other
118	RHR2_S0	RHR2_S0_coverage.bw	sum	100000	RHR2_S0 Chip-exo, coverage	Other
119	RIB1_S0	RIB1_S0_coverage.bw	sum	100000	RIB1_S0 Chip-exo, coverage	Other
120	RIB4_S0	RIB4_S0_coverage.bw	sum	100000	RIB4_S0 Chip-exo, coverage	Other
121	RIF1_S0	RIF1_S0_coverage.bw	sum	100000	RIF1_S0 Chip-exo, coverage	Other
122	RIF1_S1	RIF1_S1_coverage.bw	sum	100000	RIF1_S1 Chip-exo, coverage	Other
123	RIF2_S0	RIF2_S0_coverage.bw	sum	100000	RIF2_S0 Chip-exo, coverage	Other
124	RIF2_S1	RIF2_S1_coverage.bw	sum	100000	RIF2_S1 Chip-exo, coverage	Other
125	RIM101_S0	RIM101_S0_coverage.bw	sum	100000	RIM101_S0 Chip-exo, coverage	Other
126	RIM20_S0	RIM20_S0_coverage.bw	sum	100000	RIM20_S0 Chip-exo, coverage	Other
127	RIO2_S0	RIO2_S0_coverage.bw	sum	100000	RIO2_S0 Chip-exo, coverage	Other
128	RLF2_S0	RLF2_S0_coverage.bw	sum	100000	RLF2_S0 Chip-exo, coverage	Other
129	RLM1_S0	RLM1_S0_coverage.bw	sum	100000	RLM1_S0 Chip-exo, coverage	Other
130	RLM1_S1	RLM1_S1_coverage.bw	sum	100000	RLM1_S1 Chip-exo, coverage	Other
131	RLR1_S0	RLR1_S0_coverage.bw	sum	100000	RLR1_S0 Chip-exo, coverage	Other
132	RLR1_S1	RLR1_S1_coverage.bw	sum	100000	RLR1_S1 Chip-exo, coverage	Other
133	RMS1_S0	RMS1_S0_coverage.bw	sum	100000	RMS1_S0 Chip-exo, coverage	Other
134	RNA14_S0	RNA14_S0_coverage.bw	sum	100000	RNA14_S0 Chip-exo, coverage	Other
135	RNA14_S1	RNA14_S1_coverage.bw	sum	100000	RNA14_S1 Chip-exo, coverage	Other
136	ROX1_S0	ROX1_S0_coverage.bw	sum	100000	ROX1_S0 Chip-exo, coverage	Other
137	ROX1_S1	ROX1_S1_coverage.bw	sum	100000	ROX1_S1 Chip-exo, coverage	Other
138	ROX3_S0	ROX3_S0_coverage.bw	sum	100000	ROX3_S0 Chip-exo, coverage	Other
139	ROX3_S1	ROX3_S1_coverage.bw	sum	100000	ROX3_S1 Chip-exo, coverage	Other
140	RPA12_S0	RPA12_S0_coverage.bw	sum	100000	RPA12_S0 Chip-exo, coverage	Other
141	RPA135_S0	RPA135_S0_coverage.bw	sum	100000	RPA135_S0 Chip-exo, coverage	Other
142	RPA135_S1	RPA135_S1_coverage.bw	sum	100000	RPA135_S1 Chip-exo, coverage	Other
143	RPA14_S0	RPA14_S0_coverage.bw	sum	100000	RPA14_S0 Chip-exo, coverage	Other
144	RPA14_S1	RPA14_S1_coverage.bw	sum	100000	RPA14_S1 Chip-exo, coverage	Other
145	RPA190_S0	RPA190_S0_coverage.bw	sum	100000	RPA190_S0 Chip-exo, coverage	Other
146	RPA190_S1	RPA190_S1_coverage.bw	sum	100000	RPA190_S1 Chip-exo, coverage	Other
