,T0,T5,T10,T15,T30,T45,T60,T90
T0,0.0,0.04437255859375,0.0350341796875,0.128173828125,0.33251953125,0.452392578125,0.486083984375,0.63818359375
T5,0.04437255859375,0.0,0.06512451171875,0.14404296875,0.34326171875,0.464111328125,0.49658203125,0.6474609375
T10,0.0350341796875,0.06512451171875,0.0,0.09613037109375,0.30078125,0.420166015625,0.4541015625,0.6064453125
T15,0.128173828125,0.14404296875,0.09613037109375,0.0,0.206298828125,0.325439453125,0.359619140625,0.51220703125
T30,0.33251953125,0.34326171875,0.30078125,0.206298828125,0.0,0.1224365234375,0.154052734375,0.306884765625
T45,0.452392578125,0.464111328125,0.420166015625,0.325439453125,0.1224365234375,0.0,0.042938232421875,0.190185546875
T60,0.486083984375,0.49658203125,0.4541015625,0.359619140625,0.154052734375,0.042938232421875,0.0,0.154052734375
T90,0.63818359375,0.6474609375,0.6064453125,0.51220703125,0.306884765625,0.190185546875,0.154052734375,0.0
