,T0,T5,T10,T15,T30,T45,T60,T90
T0,0.0,0.037933349609375,0.08563232421875,0.212158203125,0.359375,0.41455078125,0.487060546875,0.55224609375
T5,0.037933349609375,0.0,0.059967041015625,0.1793212890625,0.324951171875,0.3798828125,0.452392578125,0.51708984375
T10,0.08563232421875,0.059967041015625,0.0,0.133544921875,0.286376953125,0.342041015625,0.417236328125,0.48583984375
T15,0.212158203125,0.1793212890625,0.133544921875,0.0,0.15478515625,0.210693359375,0.286865234375,0.357421875
T30,0.359375,0.324951171875,0.286376953125,0.15478515625,0.0,0.056427001953125,0.1324462890625,0.204345703125
T45,0.41455078125,0.3798828125,0.342041015625,0.210693359375,0.056427001953125,0.0,0.07763671875,0.151123046875
T60,0.487060546875,0.452392578125,0.417236328125,0.286865234375,0.1324462890625,0.07763671875,0.0,0.07501220703125
T90,0.55224609375,0.51708984375,0.48583984375,0.357421875,0.204345703125,0.151123046875,0.07501220703125,0.0
