,T0,T5,T10,T15,T30,T45,T60,T90
T0,0.0,0.025848388671875,0.0156402587890625,0.02398681640625,0.06512451171875,0.10675048828125,0.125732421875,0.1947021484375
T5,0.025848388671875,0.0,0.035552978515625,0.04071044921875,0.07373046875,0.11309814453125,0.1319580078125,0.197998046875
T10,0.0156402587890625,0.035552978515625,0.0,0.017669677734375,0.0673828125,0.1126708984375,0.131591796875,0.203125
T15,0.02398681640625,0.04071044921875,0.017669677734375,0.0,0.05133056640625,0.0986328125,0.11749267578125,0.191162109375
T30,0.06512451171875,0.07373046875,0.0673828125,0.05133056640625,0.0,0.05108642578125,0.06903076171875,0.146728515625
T45,0.10675048828125,0.11309814453125,0.1126708984375,0.0986328125,0.05108642578125,0.0,0.0196990966796875,0.09613037109375
T60,0.125732421875,0.1319580078125,0.131591796875,0.11749267578125,0.06903076171875,0.0196990966796875,0.0,0.0802001953125
T90,0.1947021484375,0.197998046875,0.203125,0.191162109375,0.146728515625,0.09613037109375,0.0802001953125,0.0
